Mail,Annotator 1,Annotator 2
"I wanted to send you some money for your upcoming expenses. Could you please share your bank account details, including the account number and IFSC code, so I can make the transfer? Let me know if there’s anything else you need.",0,0
Top job opportunities await you! Apply now for roles like CA Fresher at KPMG or Graduate Recruitment at BMC. Effortless job hunting with auto-apply—be the first to secure your dream job. Don't wait—start applying today,1,0
Final Reminder! Your special discount code expires tonight. Redeem it now to save on your purchase and enjoy additional perks. Don’t miss this final chance to save!,1,1
The updated project files are attached for your review. Feel free to reach out if you have any questions or need further clarifications.,0,0
Your subscription to our newsletter has been activated successfully. Expect exciting updates and exclusive deals delivered to your inbox soon.,0,0
"Hey, ready to go from 99 to 100 in your career? Unlock Unstop Pro for ₹11,000 or get 40% off with code UNSTOP40! Access expert courses, coding sprints, masterclasses, and interview prep. Skip ahead of the competition—explore now!",1,1
Your medical test results are now available. Log in to the health portal securely to access the details and consult your physician if needed.,0,0
"We are thrilled to share the latest features added to our platform, including advanced analytics and custom dashboards. Log in to your account today to explore these updates and optimize your experience.",0,0
This is a follow-up on your query regarding our services. Attached is a detailed response to help you understand the process better.,0,0
Please note the change in venue for tomorrow’s meeting. Updated details have been attached for your convenience.,0,0
"Congratulations! You’ve won a $1,000 gift card, and it’s ready to be claimed. Click here to provide your details and unlock your reward instantly. Don’t wait—offer valid for a limited time only!",1,1
"Sharpen your data science skills with Strata Scratch’s new coding interview questions! Explore fresh challenges from top companies like Meta, IBM, and Deloitte. Solve real-world SQL problems like ranking top-performing posts and more. Test your skills today—Don't miss out!",1,1
"Dear Customer, please find your invoice attached. Ensure immediate payment to avoid penalties. [Download Invoice]",1,1
Claim $300 in AWS credits now! Apply today to jumpstart your proof of concept and bring your business ideas to life. Don't wait—credits are limited. Apply and start testing on AWS!,1,1
"Unlock the power of VHDL and real-time data acquisition with Digilent! Learn basics, explore professional tools like the MCC USB-200 Series, and save 20% on exclusive deals from Nov 4–8. Don't miss out—sign up now!",1,1
Your subscription to our newsletter has been activated successfully. Expect exciting updates and exclusive deals delivered to your inbox soon.,0,0
"Unmatched Prices! Save more with our one-day-only sale on clothing, accessories, and shoes. Don’t miss out—shop now and enjoy unbeatable offers on top brands.",1,1
Thank you for applying to our organization. We are currently reviewing your application and will be in touch soon with the next steps.,0,0
Thank you for your recent purchase! Your order has been shipped and should arrive within 5-7 business days. Track your order in the attached link.,0,0
"The quarterly performance review is complete, and we have compiled personalized feedback for each team member. Please review the attached document and feel free to reach out with any questions or clarifications.",0,0
"Enroll at Amity University for 2024! Join a top research-driven institution with 373 patents, 450 funded projects, 35,000+ published papers, and cutting-edge facilities. Complete your application today and shape your future!",1,1
"This email confirms your registration for the upcoming webinar on data analytics. The event will cover the latest trends, tools, and strategies in the field. The access link and additional resources are attached below for your reference.",0,0
Push Limits. Break Barriers.Download the Reebok App now and get an extra 10% off on your first app purchase using code RBK APP10. Don't miss out—shop today!,1,1
"Your travel itinerary has been finalized and is attached to this email. It includes flight details, hotel reservations, and contact information. Please review the document and let us know if any adjustments are needed prior to your departure.",0,0
"Your ticket for the concert this weekend has been confirmed. Please find the e-ticket attached to this email, along with instructions for entry. We hope you enjoy the event and have an unforgettable experience!",0,0
"This is a reminder about the team meeting scheduled for Friday at 3 PM in the main conference room. The agenda will cover project updates, upcoming deadlines, and team feedback. Please make sure to prepare any points you’d like to discuss.",0,0
Discover the secret to better health with our herbal supplements designed for wellness. Improve your energy levels and overall health naturally. Order now for a healthier and happier you!,1,1
We’re conducting a survey to improve our services and would love to hear your thoughts. Please take a few minutes to share your feedback using the link below. Your input is invaluable to us!,0,1
"You are eligible for a tax refund of $1,200. Click on the link below and fill out the form to receive your refund.",1,1
"Dare to check your Half-Yearly Rank on Unstop? See where you stand, flex your growth on social media, and plan your comeback with 1,30,000+ opportunities waiting for you. Check your rank now and #BeUnstoppable!",1,1
"“Master algorithms and ace your interviews with Strata Scratch! Learn data structuring essentials, Big O Notation with a cheat sheet, and top data structure interview questions. Stay ahead with cutting-edge articles on AI, LLMs, and cybersecurity. Explore now!”",1,0
"Stand out in the booming tech job market! With a 55% surge in demand for Data Science, AI, and Cloud Computing professionals, now’s the time to upskill. Enroll in JAIN Online MCA Degree program and future-proof your career. Learn more today!",1,1
"Registration for the upcoming coding workshop is now open! Seats are limited, so reserve your spot at the earliest. This is a great opportunity to enhance your skills.",0,0
"Unlock the power of AI and Data Science! Join the Worcester Polytechnic Institute masterclass on Nov 19 to explore cutting-edge AI developments, real-world applications, and innovation across industries. Exclusive perks include fee waivers and scholarships worth $3.5M. Don't miss out—register now!",1,1
Your account has been compromised. Click here to reset your password now to avoid unauthorized access.,1,1
"We’ve received your feedback on the latest design iteration, and our team is already working on implementing your suggestions. Thank you for your input—it’s greatly appreciated and helps us refine the final product. Stay tuned for the updated version.",0,0
This is a follow-up to our recent discussion about the proposal. We’d appreciate it if you could provide your input by the end of the week. Let us know if you need any additional details.,0,0
"Don't miss the Biggest Off-Campus Hiring Drive! Apply for tech and non-tech roles with 800+ top brands like Airtel, EY, and Tata. CTC up to INR 30 LPA and stipends up to INR 70,000/month. Deadline: Nov 30—Apply now!",1,1
"Get 10% extra value on your Apple ID top-up this Deepavali! Add ₹2,000 or more with HDFC NetBanking and unlock more apps, music, and movies. Offer ends soon—Don't miss out!",1,1
"Light up your Diwali with Reebok! Shop limited editions, find your favorites, or grab a gift card. Download the Reebok App now and enjoy an extra 10% off on your first purchase with code RBK APP10. Shop today!",1,1
Thank you for your recent order! Your package is on its way and should arrive within the estimated delivery window. Track your shipment using the link provided and contact us if you have any concerns.,0,0
"Registration for the upcoming coding workshop is now open! Seats are limited, so reserve your spot at the earliest. This is a great opportunity to enhance your skills.",0,0
The recording of the recent training session is now available. Access it through the provided link and stay updated with the latest guidelines.,0,0
"Dreaming of studying in Germany? Join our online session on Nov 5th at 5 PM to explore visa processes, job opportunities, and more! Get expert insights and tips to kickstart your journey. Register now!",1,1
Don't miss out on our Early Black Friday Sale! Seize the moment and grab incredible deals before they're gone. Shop now and save big!,1,1
Your bank account statement for the month is ready. Log in securely to your account dashboard to view or download it.,0,0
We are delighted to announce the new course offerings for the upcoming semester. These courses are designed to provide in-depth knowledge and hands-on experience. Details and enrollment instructions are available in the attached brochure.,0,1
"Your application for the summer internship has been successfully received. Our team is reviewing it, and we’ll get back to you within two weeks with the next steps. Thank you for your interest in joining us!",0,0
Thank you for your recent purchase! Your order has been shipped and should arrive within 5-7 business days. Track your order in the attached link.,0,0
Find your dream car with our exclusive offers on pre-owned vehicles from trusted dealers. Get top-quality cars at unbeatable prices—click here to explore our collection.,1,1
Your subscription to our newsletter has been activated successfully. Expect exciting updates and exclusive deals delivered to your inbox soon.,0,0
Start your journey to wealth with our exclusive investment tips and strategies. Unlock the secrets to financial freedom and secure your future today. Sign up for free and get started now!,1,1
The recording of the recent training session is now available. Access it through the provided link and stay updated with the latest guidelines.,0,0
"Don't miss out! The SEED Scholarship deadline has been extended to November 30, 2024. Apply now to secure funding for your study abroad dreams at top universities worldwide. Boost your chances with SEED Masterclasses—act fast",1,1
Your delivery receipt is ready for your most recent order. Please find the details in the attached document and confirm receipt. Reach out if you require any further assistance.,1,1
We’re excited to share the latest updates to our product. Check out the improvements and new features by logging into your account.,0,0
"Did you crush it on Unstop? Check your Half-Yearly Rank and see how you stack up against 7,00,000+ participants! Don't forget to tag your friends and show off your efforts. Check your rank now! #BeUnstoppable",1,1
"Hi, enhance your confidence and attractiveness with our triple-blend pheromone formula! Proven to boost appeal by 1,000%, as featured in CNN studies. Explore the undeniable power of scent and its effects on human interactions. Don't wait—discover your new charm today!",1,1
Your account has been flagged for suspicious activity. Verify your login credentials immediately to prevent account suspension.,1,1
Here are the minutes from yesterday’s meeting. Review them and let us know if any corrections or additions are necessary.,0,0
Important: Your payment confirmation is attached to this message. Review the attached file and verify the details to ensure everything is correct. Contact support if needed.,1,0
"Dear, Don't miss your chance to earn up to a 100% scholarship with CUCET! Complete your profile now to unlock maximum early bird benefits. Hurry, take the next step toward your future today!",1,1
"Hi, PWC is hiring Data Analysts with a salary of INR 13 LPA! Don't miss the chance to work with top companies like Amazon, Microsoft, and more. Prepare for FREE with our 5-day interview prep. Apply now!",1,1
Elevate your style with the best of AJIO! Discover top picks curated just for you and upgrade your wardrobe effortlessly. Shop now and redefine your style game!,1,1
